Ticker,Date,Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
IDT,2014-10-31,34.22,1.4,57.53,10.17,0.99,0.41,54.77,0.62,2.4,698.96,51.53,178.75,114.79
IGTE,2014-10-31,13.64,1.56,45.28,20.41,0.86,0.25,41.05,0.33,1.77,327.1,33.69,149.8,93.7
IRG,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ILMN,2014-10-31,36.15,0.65,49.04,3.07,0.95,0.72,48.49,0.75,1.91,499.94,43.09,164.86,89.65
IMMU,2014-10-31,0.62,0.75,47.27,4.34,0.27,0.17,46.35,0.01,0.42,10.96,2.1,44.84,49.4
IMMR,2014-10-31,5.87,1.64,61.18,12.42,0.53,0.2,57.87,0.1,1.36,129.43,18.07,150.52,184.3
IMGN,2014-10-31,-13.6,2.02,50.57,27.47,0.38,0.09,45.09,-0.3,0.65,38.42,6.72,158.34,296.61
IPXL,2014-10-31,12.24,1.21,40.99,15.13,0.78,0.26,37.87,0.32,1.36,226.24,26.68,172.57,180.89
IFT,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMPV,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAAS,2014-10-31,17.72,0.87,33.92,11.35,0.94,0.37,31.98,0.55,1.92,269.29,29.86,110.19,61.56
INCY,2014-10-31,41.51,1.21,50.81,9.84,1.2,0.5,48.32,0.86,3.29,1038.54,62.66,193.81,5.04
IHC,2014-10-31,9.7,1.12,37.52,15.37,0.74,0.25,34.55,0.28,1.59,189.6,23.7,111.51,61.2
IBTX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INFN,2014-10-31,-2.99,1.81,52.08,20.83,0.51,0.15,47.55,-0.06,0.95,95.56,14.36,149.62,222.41
INFI,2014-10-31,20.33,1.11,63.51,5.23,0.6,0.35,61.84,0.33,0.91,144.09,19.54,122.96,146.61
IMKTA,2014-10-31,2.83,0.98,25.22,26.27,0.75,0.19,21.66,0.13,1.4,119.25,17.0,108.23,117.9
IPCC,2014-10-31,5.85,0.63,18.41,20.03,0.87,0.26,17.18,0.34,1.76,105.08,15.45,70.15,59.52
BLOX,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INFA,2014-10-31,-7.73,1.53,36.57,30.32,0.47,0.11,31.32,-0.25,0.66,67.97,10.93,120.63,187.88
VOYA,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IM,2014-10-31,-5.07,0.99,23.1,31.53,0.47,0.11,19.11,-0.27,0.75,52.07,8.74,73.03,99.41
INGR,2014-10-31,3.99,1.28,23.31,51.83,1.06,0.19,16.59,0.24,1.71,199.83,24.56,131.69,117.4
IPHS,2014-10-31,8.89,1.25,32.42,25.52,0.9,0.23,28.16,0.32,1.87,232.53,27.16,124.38,69.44
IOSP,2014-10-31,8.71,1.59,41.24,25.69,0.84,0.22,36.39,0.24,1.56,269.6,29.88,176.77,215.69
ISSC,2014-10-31,-13.59,1.66,59.92,13.22,0.22,0.08,56.49,-0.24,0.45,-11.98,-2.52,112.21,258.17
IPHI,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IART,2014-10-31,-2.31,0.93,22.49,29.41,0.57,0.14,18.92,-0.12,1.04,67.35,10.85,85.31,110.5
IDTI,2014-10-31,-5.44,2.02,37.42,50.44,0.73,0.14,29.57,-0.18,1.74,179.08,22.79,193.48,270.52
I,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MACK,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MLAB,2014-10-31,18.0,0.64,28.3,8.77,1.0,0.44,27.45,0.66,1.82,239.17,27.67,98.11,29.36
CASH,2014-10-31,22.63,0.15,42.86,0.2,0.58,1.72,44.26,0.51,0.57,94.83,14.27,43.99,-8.52
MEI,2014-10-31,26.35,1.19,43.94,12.73,1.04,0.38,41.13,0.64,2.26,508.41,43.5,168.41,93.85
METR,2014-10-31,1.15,1.12,29.84,24.53,0.65,0.17,25.98,0.04,0.9,111.67,16.18,122.1,150.38
MTD,2014-10-31,3.8,1.14,23.32,40.91,0.95,0.2,18.02,0.21,1.56,165.1,21.53,121.59,130.83
MGEE,2014-10-31,7.87,0.53,15.64,20.04,1.06,0.31,15.27,0.52,1.78,115.0,16.54,74.56,47.25
MTG,2014-10-31,-11.29,3.37,76.88,33.25,0.57,0.13,70.13,-0.16,0.94,106.96,15.66,277.89,460.58
MCRL,2014-10-31,-4.47,1.23,29.99,29.05,0.52,0.13,25.44,-0.18,1.3,76.45,12.03,114.78,171.64
MSCC,2014-10-31,-8.0,1.62,31.63,45.53,0.58,0.11,24.74,-0.32,1.0,95.87,14.39,133.12,204.26
MSTR,2014-10-31,-2.36,1.28,34.93,23.02,0.53,0.14,30.86,-0.08,0.79,84.35,13.01,119.99,161.75
MBRG,2014-10-31,2.09,0.57,23.7,9.97,0.48,0.2,23.19,0.09,0.76,53.74,8.98,69.01,87.15
MIDD,2014-10-31,19.09,1.27,28.57,33.99,1.39,0.31,23.47,0.81,3.19,485.96,42.42,150.51,57.63
MSEX,2014-10-31,1.93,0.67,15.67,31.26,0.81,0.19,13.71,0.14,1.91,78.44,12.28,72.86,68.55
MSL,2014-10-31,-8.58,1.25,30.33,29.52,0.39,0.09,25.68,-0.33,0.8,45.36,7.77,89.18,137.49
MPO,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
