Ticker, Date, Alpha,Beta,StandardDeviation,RSquared,SharpeRatio,TreynorRatio,TrackingError,InformationRatio,SortinoRatio,Momentum,AnnualizedReturn,UpsideCapture,DownsideCapture
FRF,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GNE,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GERN,2014-10-31,-16.83,1.95,92.53,7.64,0.16,0.08,89.79,-0.19,0.35,-63.5,-18.26,74.19,330.53
BGC,2014-10-31,-32.98,1.56,37.59,29.59,-0.2,-0.05,32.38,-1.02,-0.29,-52.68,-13.9,63.83,290.34
GHM,2014-10-31,-5.42,1.84,38.26,40.09,0.64,0.13,31.62,-0.17,1.34,141.64,19.3,149.08,182.0
GEOS,2014-10-31,-7.34,2.38,54.32,33.23,0.58,0.13,47.96,-0.15,1.17,134.59,18.59,166.17,263.58
HNT,2014-10-31,11.65,1.07,34.68,16.38,0.84,0.27,31.73,0.37,1.41,218.65,26.08,121.9,84.29
HALO,2014-10-31,0.02,1.55,55.82,13.37,0.45,0.16,52.46,0.0,0.6,58.75,9.68,108.01,158.68
HGG,2014-10-31,-28.32,1.38,57.46,9.95,-0.1,-0.04,54.76,-0.52,-0.17,-68.59,-20.67,8.57,224.21
ONE,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUN,2014-10-31,-3.25,2.29,41.4,52.89,0.82,0.15,33.1,-0.1,1.29,253.31,28.72,208.36,267.69
IACI,2014-10-31,19.04,0.61,21.94,13.47,1.32,0.47,21.03,0.91,2.64,275.81,30.31,111.42,33.98
IPI,2014-10-31,-32.34,1.79,42.27,30.89,-0.08,-0.02,36.64,-0.88,-0.12,-45.97,-11.58,69.55,238.99
IHS,2014-10-31,10.29,0.66,21.79,15.89,0.96,0.32,20.47,0.5,1.42,153.15,20.41,96.98,66.65
IBOC,2014-10-31,-9.26,1.79,32.0,54.3,0.62,0.11,24.02,-0.39,1.17,112.08,16.22,140.7,191.53
IVC,2014-10-31,-23.57,1.46,37.76,25.75,0.0,0.0,33.09,-0.71,0.0,-28.99,-6.62,90.96,259.17
LTM,2014-10-31,4.54,1.21,32.35,24.07,0.75,0.2,28.32,0.16,1.42,158.79,20.95,127.81,145.25
IPCM,2014-10-31,-9.38,1.37,36.09,24.75,0.35,0.09,31.68,-0.3,0.56,37.49,6.57,88.97,151.38
MTW,2014-10-31,-18.01,3.26,62.19,47.47,0.56,0.11,53.99,-0.33,1.07,133.93,18.53,237.5,369.27
ICPT,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KVHI,2014-10-31,-10.01,1.21,34.35,21.34,0.28,0.08,30.59,-0.33,0.69,23.05,4.24,101.26,184.72
IRBT,2014-10-31,1.84,1.75,46.84,24.24,0.65,0.17,41.96,0.04,1.29,167.17,21.72,184.43,240.99
LPNT,2014-10-31,4.54,1.02,24.37,29.97,0.86,0.21,20.4,0.22,1.46,147.09,19.83,113.08,117.1
KYTH,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LNN,2014-10-31,6.16,1.17,31.59,23.85,0.8,0.21,27.66,0.22,1.82,177.36,22.63,123.34,113.93
LDR,2014-10-31,-13.98,0.82,23.37,21.32,-0.03,-0.01,20.86,-0.67,-0.05,-15.13,-3.23,42.78,137.72
LLNW,2014-10-31,-21.17,1.54,47.97,17.81,0.08,0.03,44.06,-0.48,0.14,-30.09,-6.91,97.41,282.13
MAN,2014-10-31,-21.77,2.23,34.9,70.23,0.41,0.06,24.94,-0.87,0.71,52.93,8.87,167.06,301.44
MN,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHOO,2014-10-31,3.0,1.37,35.37,25.94,0.71,0.18,30.83,0.1,1.4,161.25,21.17,125.73,135.88
EBSB,2014-10-31,-0.26,0.82,32.78,10.86,0.4,0.16,31.03,-0.01,0.33,31.86,5.69,97.3,179.43
MCHX,2014-10-31,-4.66,1.18,54.85,7.95,0.26,0.12,52.67,-0.09,0.38,-6.75,-1.39,70.76,191.99
MTDR,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MXWL,2014-10-31,-15.62,1.46,55.85,11.86,0.15,0.06,52.78,-0.3,0.21,-34.97,-8.25,132.6,357.82
TAXI,2014-10-31,2.75,0.94,25.59,23.42,0.71,0.19,22.41,0.12,1.28,110.52,16.05,82.65,77.15
MCRS,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MGM,2014-10-31,-4.39,2.02,45.3,34.49,0.63,0.14,39.06,-0.11,1.09,150.81,20.19,144.94,190.86
MYE,2014-10-31,-4.44,1.45,35.66,28.58,0.54,0.13,30.71,-0.14,1.12,93.25,14.08,97.03,126.26
NRCIA,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NBTB,2014-10-31,-7.2,0.99,19.93,42.79,0.45,0.09,15.07,-0.48,0.87,42.09,7.28,73.52,112.53
NWE,2014-10-31,10.65,0.68,18.5,23.2,1.17,0.32,16.76,0.64,1.86,170.45,22.02,104.39,66.52
NRIM,2014-10-31,8.58,0.56,19.65,13.91,0.9,0.32,19.14,0.45,1.61,119.47,17.02,68.03,43.02
ORA,2014-10-31,-15.65,0.95,30.4,16.86,-0.01,-0.0,27.73,-0.56,-0.01,-21.08,-4.62,43.07,128.76
PSUN,2014-10-31,-43.79,2.32,63.65,22.96,-0.1,-0.03,58.5,-0.75,-0.16,-74.83,-24.11,98.85,440.2
PDCE,2014-10-31,4.75,1.63,48.7,19.24,0.64,0.19,44.53,0.11,1.11,161.8,21.23,143.64,184.26
ORIT,2014-10-31,7.28,0.59,16.9,20.76,0.99,0.29,16.0,0.46,1.79,116.0,16.65,73.57,50.62
PWOD,2014-10-31,1.83,0.88,20.49,32.16,0.79,0.18,16.94,0.11,1.46,102.66,15.17,84.52,96.22
PKE,2014-10-31,-14.66,1.7,30.7,53.14,0.42,0.08,22.96,-0.64,0.74,53.16,8.9,120.92,203.33
PEBO,2014-10-31,8.17,1.19,36.16,18.8,0.76,0.23,32.69,0.25,1.18,186.23,23.41,122.88,101.16
PLPM,2014-10-31,-3.19,1.6,69.87,9.04,0.33,0.14,67.1,-0.05,0.8,9.03,1.74,88.18,185.26
PLXT,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PNM,2014-10-31,14.95,0.64,20.07,17.54,1.26,0.4,18.83,0.79,2.03,219.1,26.12,107.23,53.32
PCYC,2014-10-31,96.61,0.64,69.2,1.5,1.55,1.66,68.84,1.4,4.33,6601.03,131.86,228.71,-225.02
PLAB,2014-10-31,-5.48,1.7,37.9,34.73,0.58,0.13,31.97,-0.17,1.29,115.07,16.55,164.3,240.6
PL,2014-10-31,7.59,1.58,32.09,41.89,1.04,0.21,25.62,0.3,1.86,307.66,32.45,161.22,126.57
QLYS,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PPO,2014-10-31,28.4,0.38,36.99,1.85,0.94,0.9,37.53,0.76,1.86,300.73,32.0,102.2,-7.27
RSTI,2014-10-31,-27.5,2.26,41.66,50.63,0.22,0.04,33.6,-0.82,0.44,4.38,0.86,148.79,323.07
REMY,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RALY,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RH,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RCL,2014-10-31,-6.91,2.48,40.76,64.19,0.82,0.13,31.24,-0.22,1.55,255.36,28.86,188.6,211.68
RUTH,2014-10-31,19.09,1.1,43.89,10.81,0.84,0.34,41.47,0.46,1.49,300.05,31.95,132.28,82.0
RGLD,2014-10-31,7.74,0.43,41.86,1.82,0.35,0.34,42.15,0.18,0.68,36.22,6.38,26.5,16.39
SFE,2014-10-31,-4.52,1.41,29.25,40.29,0.63,0.13,23.24,-0.19,1.33,104.83,15.42,119.81,151.72
SFL,2014-10-31,2.31,1.23,31.26,26.74,0.71,0.18,26.93,0.09,0.98,136.96,18.83,140.88,185.74
SYBT,2014-10-31,-0.56,0.81,17.36,37.34,0.72,0.16,13.97,-0.04,1.34,74.13,11.73,76.33,78.55
SGA,2014-10-31,9.7,1.76,44.6,27.04,0.86,0.22,39.4,0.25,2.2,333.98,34.12,174.71,159.01
SGK,2014-10-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SMG,2014-10-31,-2.72,0.93,21.7,31.91,0.57,0.13,17.93,-0.15,0.95,66.04,10.67,94.79,121.32
SLAB,2014-10-31,-10.7,1.0,28.58,21.33,0.2,0.06,25.35,-0.42,0.33,8.81,1.7,74.43,165.79
SM,2014-10-31,-3.93,1.29,37.48,20.44,0.45,0.13,33.65,-0.12,0.74,66.48,10.73,91.43,152.32
SIMG,2014-10-31,2.99,1.53,43.62,21.19,0.64,0.18,39.34,0.08,1.25,154.03,20.5,159.23,236.19
STNR,2014-10-31,-12.07,1.13,27.02,30.05,0.23,0.06,22.66,-0.53,0.36,14.12,2.68,72.9,150.41
SON,2014-10-31,-0.88,0.88,16.78,47.2,0.8,0.15,12.3,-0.07,1.18,81.98,12.72,86.53,95.79
