Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
CRK,2014-09-30,0.065,-1.024,-0.04,1.097,0.262,0.336,0.11,1.305,0.29,0.451,0.799,0.863,41.864,38.002,17.563
CR,2014-09-30,-0.096,1.172,0.046,1.332,-0.025,0.3,0.049,0.585,0.13,0.202,0.358,0.387,25.425,16.89,19.004
CYBX,2014-09-30,-0.111,1.493,0.153,0.823,-0.029,-0.946,0.093,1.108,0.246,0.383,0.679,0.733,34.771,32.293,12.891
MORN,2014-09-30,-0.023,0.287,-0.003,0.414,0.84,-0.384,0.044,0.529,0.117,0.183,0.324,0.35,18.565,15.376,10.404
DV,2014-09-30,0.058,-0.854,0.198,1.043,0.717,0.649,0.097,1.161,0.258,0.401,0.711,0.768,39.284,33.761,20.085
DAKT,2014-09-30,-0.037,0.456,-0.067,1.061,1.12,-0.338,0.096,1.139,0.253,0.394,0.698,0.754,38.668,33.135,19.932
DK,2014-09-30,-0.025,0.446,0.208,1.559,-0.703,0.784,0.116,1.385,0.308,0.479,0.848,0.916,45.599,40.311,21.315
ECHO,2014-09-30,0.055,-0.565,0.085,0.344,0.387,0.329,0.094,1.124,0.244,0.381,0.698,0.757,32.873,31.945,7.756
PERY,2014-09-30,-0.054,0.571,0.1,1.29,0.972,0.275,0.102,1.214,0.269,0.42,0.743,0.803,42.115,35.28,23.001
DIN,2014-09-30,-0.132,1.641,-0.071,1.745,0.646,0.792,0.09,1.076,0.239,0.372,0.659,0.712,42.396,31.166,28.742
PCL,2014-09-30,-0.099,1.146,-0.092,1.021,-0.386,0.211,0.037,0.445,0.099,0.154,0.272,0.294,18.771,12.85,13.683
POM,2014-09-30,0.002,0.098,-0.076,0.49,-1.083,0.371,0.045,0.542,0.12,0.187,0.332,0.358,17.913,15.773,8.491
STT,2014-09-30,0.033,-0.499,0.079,1.253,0.431,0.899,0.049,0.582,0.129,0.201,0.356,0.385,27.259,16.739,21.514
ENZN,2014-09-30,-0.025,0.111,0.014,0.782,0.811,-0.493,0.115,1.37,0.304,0.474,0.839,0.906,42.449,39.912,14.454
FRM,2014-09-30,-0.081,0.97,-0.265,1.149,2.275,-0.075,0.105,1.251,0.278,0.433,0.767,0.828,46.535,36.31,29.104
FXEN,2014-09-30,-0.202,2.262,0.335,2.274,0.052,0.213,0.169,2.018,0.448,0.698,1.236,1.335,67.361,58.722,33.004
MOH,2014-09-30,-0.023,0.304,0.467,1.433,0.955,-0.367,0.086,1.025,0.228,0.355,0.628,0.678,39.123,29.734,25.427
GLUU,2014-09-30,-0.059,0.88,0.372,1.995,2.041,-1.544,0.179,2.129,0.473,0.736,1.304,1.408,72.498,61.908,37.727
FIO,2014-09-30,0.017,-0.48,-0.647,1.97,2.49,-2.644,0.287,3.7,0.552,1.012,1.909,2.03,69.966,56.47,41.309
PANW,2014-09-30,0.353,-4.988,0.34,1.594,0.478,-1.343,0.225,3.159,0.4,0.794,1.222,1.253,35.381,27.357,22.437
PIR,2014-09-30,-0.321,3.989,0.262,1.193,1.217,1.25,0.075,0.895,0.199,0.31,0.548,0.592,39.814,25.816,30.31
PLXS,2014-09-30,-0.03,0.229,0.008,1.503,1.055,-0.06,0.079,0.936,0.208,0.324,0.573,0.619,37.206,27.098,25.495
POL,2014-09-30,-0.064,0.918,0.105,1.527,0.582,0.697,0.072,0.856,0.19,0.296,0.524,0.566,35.252,24.749,25.104
PRLB,2014-09-30,-0.162,2.874,-0.008,-0.554,0.422,-1.631,0.233,3.164,0.483,0.845,1.409,1.523,39.065,36.973,12.611
PRIM,2014-09-30,-0.003,0.141,-0.06,1.225,1.231,-0.973,0.076,0.904,0.201,0.313,0.554,0.598,34.495,26.226,22.407
RAVN,2014-09-30,-0.113,1.457,-0.101,0.448,1.757,-0.609,0.068,0.809,0.18,0.28,0.495,0.535,29.992,23.468,18.675
PBYI,2014-09-30,0.775,-8.119,3.148,-1.329,-8.212,-4.404,0.997,13.685,1.921,3.426,5.7,6.199,167.08,145.068,82.89
PVTB,2014-09-30,0.072,-0.929,0.483,1.399,1.41,1.242,0.121,1.446,0.321,0.5,0.886,0.957,52.401,41.996,31.34
PB,2014-09-30,-0.03,0.319,0.094,1.067,0.487,-0.065,0.047,0.561,0.124,0.194,0.343,0.371,23.375,16.208,16.843
